dc:title,prism:publicationName,prism:coverDate
Resounding in the Human Body as the ‘True Sanskrit’ of Nature: Reading Sound Figures in Novalis’ The Novices of Sais,Journal of Somaesthetics,2019-12-31
The Intermediate Stage and the Guarantee Judge in the Brazilian Criminal Process: an important and insufficient step,Law of Justice Journal,2019-12-31
Sound of the Audience: Music Together and Make Sense of Noise,Journal of Somaesthetics,2019-12-31
Preface Somaesthetics and Sound,Journal of Somaesthetics,2019-12-31
Public security as a fundamental right: the current crisis scenario,Law of Justice Journal,2019-12-31
Effect of Intracellular and Extracellular Mushroom Polysaccharides on Growth Inhibition of Human Carcinoma Cell Lines,Journal of Cancer Research Updates,2019-12-31
The construction of fundamental rights in Brazil: between foreign Constitutions and International Law,Law of Justice Journal,2019-12-31
The Sound of the ʻŪd ʻArbī: Evocations Through Senses,Journal of Somaesthetics,2019-12-31
Citizenship exercised by the right to suffrage in Brazil and Spain,Law of Justice Journal,2019-12-31
"Extrajudicial resolution of disputes in land regularization process in Brazil: the case of chambers of prevention and administrative resolution of urban land conflicts in the Law 13,465/2017",Law of Justice Journal,2019-12-31
Introduction to the Open Peer-Reviewed Section on DR2 Methodology Examples,Journal of Interdisciplinary History of Ideas,2019-12-31
Exploring Knowledge Dynamics in the Humanities Two Science Mapping Experiments,Journal of Interdisciplinary History of Ideas,2019-12-31
"Rule of Law, New Technologies and Cyberpopulism",Law of Justice Journal,2019-12-31
"Constitution, democracy and state",Law of Justice Journal,2019-12-31
Two Quantitative Researches in the History of Philosophy Some Down-to-Earth and Haphazard Methodological Reflections,Journal of Interdisciplinary History of Ideas,2019-12-31
Manufacture of solar wheelchairusing waste materials: applied in Bechar-Algeria,Journal of Renewable Energies,2019-12-31
"Living in a Sacrifice Zone: A Multi-Scale Analysis of Puchuncaví District, Chile",Habitat Sustentable,2019-12-31
Bilingual Frequency in a Favorable Context (BFFC) in the Italian dialectal area. Theoretical preliminaries to the analysis of geminate lateral retroflexion and voiceless plosives aspiration in Antona (MS),Studi AISV,2019-12-31
LINGUISTIC DISCUSSION OF 1950 AS MARR AND STALIN’S “DEBATE” ON LAWS,Filosofiya. Zhurnal Vysshey Shkoly Ekonomiki,2019-12-31
BOETHIUS DE CONSOLATIONE PHILOSOPHIAE,Filosofiya. Zhurnal Vysshey Shkoly Ekonomiki,2019-12-31
“THE RECOGNITION OF HUMAN NATURE AS A SUPREME LAW” LEO TOLSTOY AND FYODOR DOSTOEVSKY IN OPPOSITION TO AN INTELLECTUAL TREND OF THEIR TIMES,Filosofiya. Zhurnal Vysshey Shkoly Ekonomiki,2019-12-31
"«LET US STUDY MAN AS HE IS, IN ORDER TO TEACH HIM WHAT HE SHOULD BE»",Filosofiya. Zhurnal Vysshey Shkoly Ekonomiki,2019-12-31
JAINA NAYAS: THE METHODS OF RELIABLE KNOWLEDGE OR THE FORMS OF REFUTATION?,Filosofiya. Zhurnal Vysshey Shkoly Ekonomiki,2019-12-31
Simplifying the Complexities of Negligence Law - A Joint Academic/Judicial Proposal,Journal of European Tort Law,2019-12-31
Common Law Codification: Lessons and Warnings from Twenty-First Century Australia,Journal of European Tort Law,2019-12-31
EDITORIAL,InterEULawEast,2019-12-31
Length-weight Relationships and Condition Factor of Three Species of Mullet (Mugilidae) in the New Calabar River,Borneo Journal of Resource Science and Technology,2019-12-31
Vitamin E Alleviates Diethylhexyl Phthalate-Induced Haemato-logical Changes and Splenic Oxidative Injury in Male Sprague-Dawley Rats,Journal of Cancer Research Updates,2019-12-31
Automatic Generation Method of Dimension Annotating for Floor Plane Based on IFC Standard,Journal of Graphics,2019-12-31
Multi-LoD Expression and Automatic Information Integration of Cracks in Ancient Wooden Buildings,Journal of Graphics,2019-12-31
Research on Path Planning Method of Ancient Architectural Scene Based on Depth Map and Aesthetic Evaluation,Journal of Graphics,2019-12-31
Local Human Mesh Deformation Method Based on Bounded Biharmonic Weights,Journal of Graphics,2019-12-31
Improved VGG Neural Network Applied to Defect Detection of Diode Glass Bulb Image,Journal of Graphics,2019-12-31
Artistic Paintings Classification Based on Information Entropy,Journal of Graphics,2019-12-31
Weighted Optimization Integrated Convolutional Neural Network and Its Application in 3D Model Recognition,Journal of Graphics,2019-12-31
Research on Automatic Labeling Method of Architectural Aluminum Formwork Installation Drawing,Journal of Graphics,2019-12-31
Holographic Visualization and Interactive System Realization of Digital Flower Plants,Journal of Graphics,2019-12-31
Matrix Factorization Recommendation Based on Collaborative Regression Model,Journal of Graphics,2019-12-31
The Research about RJMCMC+SA Image Segmentation Algorithm to Automatically Determine the Number of Categories,Journal of Graphics,2019-12-31
Formulating Criminal Liabilities Regarding Online Prostitution,Lentera Hukum,2019-12-31
The Principle of Rahn Utilization in Non-Cash Transactions of Gold at Islamic Banks,Lentera Hukum,2019-12-31
Legal Conflicts in the Border Dispute between Indonesia and Timor Leste,Lentera Hukum,2019-12-31
BIG DATA AND UNIVERSITIES: ANALYSIS OF UNIVERSITY STUDENTS MOBILITY BY TWITTER DATA,GeoFocus,2019-12-31
Utilizing Production Sharing Contracts (PSCs) as a Means for the Protection of Indonesia’s Natural Resources,Lentera Hukum,2019-12-31
KOCAELI KETENCILER OF CIRCASSIAN MUSIC,Online Journal of Music Sciences,2019-12-31
"Garuda Indonesia-Rolls Royce Corruption, Transnational Crime, and Eradication Measures",Lentera Hukum,2019-12-31
Inconsistent Constitutional Court Decisions Resulting in Uncertainty in Legal Dispute Regarding Regional Head Election Results,Lentera Hukum,2019-12-31
Motion Compensation of UAV Airborne High Resolution Stripmap SAR,Aero Weaponry,2019-12-31
Design of Millimeter-Wave/Infrared Composite System Based on Parabolic Metallic Mesh,Aero Weaponry,2019-12-31
Cold Reflection Analysis and Solution of IR Imaging Target Simulator System Based on MOS Resistor Array,Aero Weaponry,2019-12-31
Research on Radar Moving Target Detection and Tracking Algorithm Based on Keystone Transform and Dechirping Compensation,Aero Weaponry,2019-12-31
Usability as a Premise of Quality: First Steps Towards the Validation of the System Usability Scale (SUS) into Spanish,Journal of Audiovisual Translation,2019-12-31
Research on the Influence of Cross-Polarization Jamming on Angle Measurement of Array Radar,Aero Weaponry,2019-12-31
FROM NUREMBERG TO THE HAGUE AND BEYOND: INTERNATIONAL CRIMINAL LAW IN COURTS: COURT OF BOSNIA AND HERZEGOVINA AS AN EXAMPLE,Bratislava Law Review,2019-12-31
THE RIGHT TO PHYSICAL AND MENTAL IMMUNITY IN THE LIGHT OF THE NEW CONSTITUTION OF THE REPUBLIC OF ARMENIA AND MODERN CHALLENGES IN THIS FIELD IN ARMENIA,Bratislava Law Review,2019-12-31
JUSTICE AND DIGITALIZATION AS MUTUALLY DETERMINING FACTORS OF CRIMINAL–JURISDICTIONAL ACTIVITY DEVELOPMENT,Bratislava Law Review,2019-12-31
CORPORATE CRIMINAL LIABILITY IN TERMS OF ATTRIBUTABILITY CONCEPT,Bratislava Law Review,2019-12-31
THE INTERESTS OF DEVELOPING COUNTRIES IN THE CONTEXT OF THE OECD/ G20 LED INTERNATIONAL INCOME TAX INITIATIVES,Bratislava Law Review,2019-12-31
The relationships of man–space–nature–art: The pedagogy of experiences and art therapy as a source of educational inspiration,Studia Ecologiae et Bioethicae,2019-12-31
The networking concept as an ethical interpretative key of the sustainable development principle,Studia Ecologiae et Bioethicae,2019-12-31
"Sustainable development, degrowth, Buen Vivir: Voices from Latin America and Spain",Studia Ecologiae et Bioethicae,2019-12-31
Wisdom as a devalued value of sustainable development,Studia Ecologiae et Bioethicae,2019-12-31
Museums as Disseminators of Niche Knowledge: Universality in Accessibility for All,Journal of Audiovisual Translation,2019-12-31
Enhancing the Growth and Yield of Lettuce (Lactuca sativa L.) in Hydroponic System Using Magnetized Irrigation Water,Recoletos Multidisciplinary Research Journal,2019-12-31
THE LAWS OF TRANSGRESSION,Filosofiya. Zhurnal Vysshey Shkoly Ekonomiki,2019-12-31
Top Stressors among Filipino Undergraduate Students: A Multicenter-Interdisciplinary Study,Recoletos Multidisciplinary Research Journal,2019-12-31
Rainforestation and Sustainable Development: From the Lens of the Four Individual Adopters from the Visayas Region in the Philippines,Recoletos Multidisciplinary Research Journal,2019-12-31
The Caring Self: The Older Adult Care Providers’ Experiences,Recoletos Multidisciplinary Research Journal,2019-12-31
"Oral sources, documents and archives Reflections and proposals for the birth of an audiovisual archive",Studi AISV,2019-12-31
k<inf>0</inf>-Instrumental Neutron Activation Analysis Method Validation for Trace Element Determination using Environmental Reference Materials,Borneo Journal of Resource Science and Technology,2019-12-31
Cognitive principles underlying predicational metonymy: Metonymic preference of aspect of predicates in Japanese intermediary causative constructions,Cognitive Linguistic Studies,2019-12-31
Website localization: Asymmetries and terminological challenges,Journal of Internationalization and Localization,2019-12-31
Learning inside the magic circle: An interview with Curious Chimeras,Journal of Applied Learning and Teaching,2019-12-31
The game plan: Using gamification strategies to engage learners as active player,Journal of Applied Learning and Teaching,2019-12-31
Giving and receiving feedback-role play exercise,Journal of Applied Learning and Teaching,2019-12-31
Introduction to the fourth regular issue of JALT,Journal of Applied Learning and Teaching,2019-12-31
Learning English is already a misspelling minefield without using programs that wiconfuse children,Journal of Applied Learning and Teaching,2019-12-31
Forensic science and student mobility programs in the Indo-Pacific region: Unveiling the potential of an international and intercultural project in forensic science education,Journal of Applied Learning and Teaching,2019-12-31
Technologically enhanced pedagogies in Professional Writing,Journal of Applied Learning and Teaching,2019-12-31
The Play’s the Thing… an introduction to the Special Section on “Pedagogy &amp; Play in Teaching Today”,Journal of Applied Learning and Teaching,2019-12-31
"Pandemic, localization and change of guard",Journal of Internationalization and Localization,2019-12-31
Metaphtonymy in the naming procedure of technological devices among South Tunisian old people,Cognitive Linguistic Studies,2019-12-31
An integrated study of visual metaphors in Chinese editorial cartoons,Cognitive Linguistic Studies,2019-12-31
Narrative metaphors in Polish perfumery discourse,Cognitive Linguistic Studies,2019-12-31
"Phonological (in)visibility: The perception of reduced Spanish vowels among L1-Spanish speakers, L2-Spanish learners, and English monolinguals",Journal of Second Language Pronunciation,2019-12-31
How to measure the usage of regional potentials of renewable energies. An empirical analysis of German counties,Raumforschung und Raumordnung,2019-12-31
Interim uses in different urban contexts. The cases of Leipzig and Dessau-Roßlau,Raumforschung und Raumordnung,2019-12-31
"Authors, reviewers and JSLP",Journal of Second Language Pronunciation,2019-12-31
THE CHALLENGES OF REGULATING AND ENFORCING COMPETITION LAW (BUCHAREST 14 – 15 NOVEMBER 2019),Bratislava Law Review,2019-12-31
Triggered Recurrence Factors of Mental Illness Patients in an Emergency Unit in a Psychiatric Hospital,Jurnal Ners,2019-12-31
Spatiotemporal variations in moisture conditions across Monsoon Asia during the last 500 years,Sciences in Cold and Arid Regions,2019-12-31
"Characteristics of climate and melt runoff in the Koxkar Glacier River Basin, south slope of the Tianshan Mountains, Northwest China",Sciences in Cold and Arid Regions,2019-12-31
CORNISH KNITTING PATTERN SERIES,International Journal of Film and Media Arts,2019-12-31
Mørkets fortryllende æstetik: Om framing af mørket som oplevelsesfænomen,CIGRE Science and Engineering,2019-12-31
Æstetiseringen dynamic: Walter Benjamins teori om æstetisering,CIGRE Science and Engineering,2019-12-31
Kunsten som basis: Poul Henningsens paradoksale kulturbegreb,CIGRE Science and Engineering,2019-12-31
"PROCESS &amp; TEMPORALITY: CHANCE &amp; (AL)CHEMICAL TRACES INVIGORATING MATERIALITY &amp; CONTENT IN THE FILMS OF PÉTER FORGÁCS, PENNY SIOPIS AND BEN RIVERS",International Journal of Film and Media Arts,2019-12-31
ANIMATING POETRY: WHOSE LINE IS IT ANYWAY?: CREATION &amp; CRITIQUE OF SHARED LANGUAGE IN POETRY ANIMATION,International Journal of Film and Media Arts,2019-12-31
Æstetiseringsformer i politik,CIGRE Science and Engineering,2019-12-31
“VAST/O”: EXPLORING THE USE OF EXPANDED ANIMATION FOR A SHARED PHYSICAL UNDERSTANDING OF SPATIAL PHOBIAS,International Journal of Film and Media Arts,2019-12-31
Intet nyt under solen: Strategier for hverdagsæstetiske kurateringspraksisser,CIGRE Science and Engineering,2019-12-31
"The Aestheticization of Place, Politics and Products: Selling ‘The Nordic Way of Life’",CIGRE Science and Engineering,2019-12-31
A late Roman oil lamp from Ajdovščina/Castra,Polish Archaeology in the Mediterranean,2019-12-31
EDITORIAL,International Journal of Film and Media Arts,2019-12-31
FAITHFULLY ANIMATING THE TRUTH SOME EXPERIENCES OF A WOMEN’S COLLECTIVE,International Journal of Film and Media Arts,2019-12-31
Autenticitet og æstetisering i branding af kaffe,CIGRE Science and Engineering,2019-12-31
Summary of the Prevention of Catheter-Associated Urinary Tract Infection in An Intensive Care Unit,Jurnal Ners,2019-12-31
The Effect of Ergonomic Gymnastics on Joint Pain in Community-Dwelling Elderly,Jurnal Ners,2019-12-31
Analysis of Occupational Therapy In Schizophrenic Patients,Jurnal Ners,2019-12-31
Relationship Between the Application of a Full Day School System and Stress Levels in Junior High School,Jurnal Ners,2019-12-31
Development of Detection Instrument Models for Mobility Impairment in The Older Adults Based on A Mobile Health Nursing Application in A Public Health Center,Jurnal Ners,2019-12-31
Factors Influencing the Incidence of Dengue Haemorrhagic Fever,Jurnal Ners,2019-12-31
Music Therapy and Bibliotherapy to Reduce Child Anxiety When Given Intravenous Therapy,Jurnal Ners,2019-12-31
Deep Breathing Relaxation for Decreasing Blood Pressure in People with Hypertension,Jurnal Ners,2019-12-31
"Care, Support and Therapy Service of HIV Patients with the “SATE Krembung” Application",Jurnal Ners,2019-12-31
Home-Based Exercise Training for Heart Failure Patients,Jurnal Ners,2019-12-31
Why We Have to Develop Instruments of Our Caring Measurement Based on an Indonesian Perspective,Jurnal Ners,2019-12-31
"Effectiveness of Cognitive Behavioral Therapy to Reduce Depression, Anxiety and Stress among Hospitalized Patients with Congestive Heart Failure in Central Java",Jurnal Ners,2019-12-31
Lactobacillus sp as a Probiotic for the Prevention of Clostridium difficile Associated Diarrhea,Jurnal Ners,2019-12-31
Analysis of the Nurse’s Behavior toward Helping a Patient with a Mental Health Problem: A Systematic Review,Jurnal Ners,2019-12-31
Minimizing the Use of Restraint in Patients with Mental Disorders at a Mental Hospital: A Systematic Review,Jurnal Ners,2019-12-31
Effect of Foot Exercise and Care on Peripheral Vascular Status in Patients with Diabetes Mellitus,Jurnal Ners,2019-12-31
The Use of Health Technology to Enhance the Adherence of Tuberculosis Treatment: A Systematic Review,Jurnal Ners,2019-12-31
The Effect of Early Mobilization on Intestinal Peristaltics in Patients after a Cesarean Section in Kendari City Hospital,Jurnal Ners,2019-12-31
The Effectiveness of Interventions to Reduce the Nurses’ Distractions during Medication Administration: A Systematic Review,Jurnal Ners,2019-12-31
Support Factors of Self Foot Care for Diabetes Mellitus Patients,Jurnal Ners,2019-12-31
Effects of Handgrip Relaxation on Decreasing Blood Pressure in Patients with Hypertension,Jurnal Ners,2019-12-31
A Clinical Decision Support System as a Tool to Improve the Accuracy of Nursing Diagnoses,Jurnal Ners,2019-12-31
The Effect of Exercise on Postpartum Women’s Quality of Life,Jurnal Ners,2019-12-31
Strategy Intervention to Prevent and Reduce Postpartum Depression: A Systematic Review,Jurnal Ners,2019-12-31
Life Experience of Human Immunodeficiency Virus (HIV) Sufferers: A Qualitative Systematic Review,Jurnal Ners,2019-12-31
Factors That Influence Professional Quality of Life (Pro-QOL) on Clinical Nurses,Jurnal Ners,2019-12-31
Effectiveness of Self-Management Education based on Information Technology (IT) in Chronic Kidney Disease Patients,Jurnal Ners,2019-12-31
Prevention of the Stigma of Mental Disorders in the Community,Jurnal Ners,2019-12-31
A Case Control Study on Physical Activity and Body Mass Index Associated with Hemorrhoids,Jurnal Ners,2019-12-31
Factors Related to Sleep Disorders in the Elderly in Tresna Werdha Madago Tentena,Jurnal Ners,2019-12-31
Family Counselling Enhances Environmental Control of Allergic Patients,Jurnal Ners,2019-12-31
Factors Affecting Burnout Syndrome Among Nurses: A Systematic Review,Jurnal Ners,2019-12-31
The Benefits of Fasting to Improve Health Conditions and to Prevent Cardiovascular Disease,Jurnal Ners,2019-12-31
Factors Affecting the Organizational Commitment of Nurses in Comprehensive Health Services: A Systematic Review,Jurnal Ners,2019-12-31
The Management of Diabetic Foot Ulcers Using the Wound Treatment Techniques of Modern Dressing: A Systematic Review,Jurnal Ners,2019-12-31
The Implementation of Therapeutic Communications with Postoperative Patient Satisfaction in Islamic Hospital of Sultan Agung Semarang,Jurnal Ners,2019-12-31
The Analysis of the Influencing Factors related to the Effectiveness of Discharge Planning Implementation in Hospitals: A Systematic Review,Jurnal Ners,2019-12-31
A Review of Personality Type D on Cardiovascular Disease Patients,Jurnal Ners,2019-12-31
The Effect of Clinical Supervision on Nurse Performance,Jurnal Ners,2019-12-31
Some Hellenistic and late Roman terracotta lamps in the Sinop Archaeological Museum in northern Turkey,Polish Archaeology in the Mediterranean,2019-12-31
The Forcart collection of lamps from Fayum,Polish Archaeology in the Mediterranean,2019-12-31
Two unpublished terracotta oil lamps from Marina el-Alamein in Egypt,Polish Archaeology in the Mediterranean,2019-12-31
"Terracotta oil-lamps from Egypt’s Theban region in the collection of the Metropolitan Museum of Arts, New York",Polish Archaeology in the Mediterranean,2019-12-31
The popularity of the Ricci C type wheel-made lamps in southeastern Sicily: questions and hypotheses,Polish Archaeology in the Mediterranean,2019-12-31
Conservation of a commemorative monument to the Emperor Commodus in House H21c in Marina el-Alamein,Polish Archaeology in the Mediterranean,2019-12-31
Indo-Roman lamps from Ter: the long shadow of Rome or the light of transculturation?,Polish Archaeology in the Mediterranean,2019-12-31
Roman wheel-made lamps from Carthago Nova: an illuminating cult vessel?,Polish Archaeology in the Mediterranean,2019-12-31
Isiac lamps from Alexandria and other provinces: some comparisons,Polish Archaeology in the Mediterranean,2019-12-31
"The Nabī-Rasūl in Arabian/Semitic Religious Tradition: Qur’ānic Monotheism, Prophet Muḥammad and the Shaping of Muslim World View",Islamic Studies,2019-12-31
By Nakajima Shōen Translated and with an introduction by Dawn Lawson,Asia-Pacific Journal: Japan Focus,2019-12-31
The Qisas and Diyat Law in Pakistan: Prosecution of Offence of Murder,Islamic Studies,2019-12-31
"The Opioid Epidemic and the Role of Radiology: History, Current Status, Controversies, and Appropriately Managing Pain in the Image-Guided Procedural Arena",Contemporary Diagnostic Radiology,2019-12-31
Will the Dormant Volcano Erupt Again? Mt. Paektu and Contemporary Sino-Korean Relations,Asia-Pacific Journal: Japan Focus,2019-12-31
Economic Rationale of the Prohibition of Interest: A New Aspect,Islamic Studies,2019-12-31
Editorial,Journal for Foreign Languages,2019-12-31
Expressing temporal relations in Latin And Greek AcI and NcI clauses: Some recent findings and their applicative aspects,Journal for Foreign Languages,2019-12-31
Representations of native-speaker teachers among Slovenian secondary school learners,Journal for Foreign Languages,2019-12-31
False friends or interferences of English with Slovene learners of German,Journal for Foreign Languages,2019-12-31
To teach or not to teach the ordering of adjectival modifiers in complex nominals?,Journal for Foreign Languages,2019-12-31
A WARDROBE SUITABLE FOR A VIRTUOUS PAUPER,Journal for Foreign Languages,2019-12-31
The challenges of technical translation faced by young translators – examples of errors in the translations of a commercial text,Journal for Foreign Languages,2019-12-31
Some remarks on expressing the agent in long passive constructions in Slovenian with a perspective from French and Russian,Journal for Foreign Languages,2019-12-31
Free work in German as a foreign language classes at elementary school – possibilities and limitations,Journal for Foreign Languages,2019-12-31
“The Two Old Bachelors” by Edward Lear: a semantic and traductological analysis,Journal for Foreign Languages,2019-12-31
The diatopic variation of contemporary French and its teaching in a Czech academic environment: The case of Québec French,Journal for Foreign Languages,2019-12-31
Analysis of errors in the texts of German learners at a beginner level,Journal for Foreign Languages,2019-12-31
The search for the Austrianness in Sama Maani,Journal for Foreign Languages,2019-12-31
Presentation of potential phonological difficulties of Slovene speakers while learning Portuguese as a foreign language,Journal for Foreign Languages,2019-12-31
ANALYSIS OF FRENCH GRAMMATICAL GENDER ERRORS COMMITTED BY LEARNERS IN TANZANIAN UNIVERSITIES,Journal for Foreign Languages,2019-12-31
The image of Moscow in travel narratives of contemporary French writers,Journal for Foreign Languages,2019-12-31
"CULTURE(S) PUBLICITAIRE(S) EN CLASSE DE FRANÇAIS LANGUE ÉTRANGÈRE: « FRANCE IS IN THE AIR », ANALYSE D'UNE CAMPAGNE",Journal for Foreign Languages,2019-12-31
For an easier and more motivating use of grammar,Journal for Foreign Languages,2019-12-31
Narrated cultural history: Skidoo By Alex Capus,Journal for Foreign Languages,2019-12-31
TRANSFER IN THE USE OF INTENSIFIERS,Journal for Foreign Languages,2019-12-31
The History of Sufism in Multan: New Data from the Urdu Tadhkirah Tradition,Islamic Studies,2019-12-31
KINEMATIC CHARACTERISTICS OF THE LONG JUMP APPROACH RUN IN PARALYMPIC-LEVEL MALE LIMB-DEFICIENTS,European Journal of Human Movement,2019-12-31
EVALUATING THE EMERGENCE OF ELITE PROFESSIONAL GOLFERS IN EUROPE WITH DATA ENVELOPMENT ANALYSIS,European Journal of Human Movement,2019-12-31
EXPLORING BARIATRIC PATIENTS’ NEED FOR NOVELTY IN A MOTIVATIONAL PHYSICAL ACTIVITY PROGRAM: A QUALITATIVE STUDY,European Journal of Human Movement,2019-12-31
VALIDATION OF A INERTIAL MOVEMENT UNIT WITH A LINEAR ENCODER TO EVALUATE STRENGTH AND POWER,European Journal of Human Movement,2019-12-31
"NUTRITION, WEIGHT CONTROL, AND WEIGHT CONTROL RISK KNOWLEDGE, AND DIETARY AND WEIGHT REGULATION PRACTICE IN ELITE GYMNAST OF DIFFERENT LEVELS OF COMPETITION",European Journal of Human Movement,2019-12-31
«I Don’t Renounce Anything in My Life» (Olha Didenko’s Life Path and Intellectual Biography),Eminak,2019-12-31
Role of Museums in the Context of Sustainable Development of Society Realization,Eminak,2019-12-31
The case for case studies in the context of environmental issues-updated,Case Studies in the Environment,2019-12-31
Teachers’Well-Being Through Work Engagement among Montfortian Schools in Asia,Recoletos Multidisciplinary Research Journal,2019-12-31
"Sleep, its Attributes, Deprivation &amp; Hygiene: A Recapitulation",National Journal of Community Medicine,2019-12-31
Analysis of the Restraint Model for Mental Disorder Clients in Health Care Facilities: A Systematic Review,Jurnal Ners,2019-12-31
"Related Factors of a Nurse Handover Implementation in the Inpatient Ward of Ulin Hospital, Banjarmasin",Jurnal Ners,2019-12-31
Letter from the editors,Revista de Estudos Empiricos em Direito,2019-12-31
Rendering Sociology: On the Utopian Positivism of Harriet Martineau and the ‘Mumbo Jumbo Club’,Journal of Interdisciplinary History of Ideas,2019-12-31
Analysis of the world scientific production on public's opinion on environmental issues,Environmental Research and Technology,2019-12-31
ENDURANCE ASSESSMENT IN HANDBALL: A SYSTEMATIC REVIEW,European Journal of Human Movement,2019-12-31
Attitude of Nurses Related to The Implementation of Patient Safety in The Intensive Care Unit,Jurnal Ners,2019-12-31
The Role of the Nurse Unit Manager Function on Nursing Work Performance: A Systematic Review,Jurnal Ners,2019-12-31
RE-ANIMATING GHOSTS: MATERIALITY AND MEMORY IN HAUNTOLOGICAL APPROPRIATION,International Journal of Film and Media Arts,2019-12-31
Qualitative Resistance of Sarawak Rice Landraces Against Pyricularia oryzae,Borneo Journal of Resource Science and Technology,2019-12-31
"Phonetic and functional features of pauses, and concurrent gestures, in tourist guides’ speech",Studi AISV,2019-12-31
Inside the industry bubble A.D. 2020:Reflections of a translation/localization conference organizer,Journal of Internationalization and Localization,2019-12-31
Research on Selective Maintenance Decision-Making of Equipment Considering Imperfect Maintenance under Sequential Mission,Aero Weaponry,2019-12-31
Individualism and Social Change An Unexpected Theoretical Dilemma in Marxian Analysis,Journal of Interdisciplinary History of Ideas,2019-12-31
Spiritual Intelligence Roles to Improve the Quality of Nursing Care: A Systematic Review,Jurnal Ners,2019-12-31
"The Presentation of Voices, Evidence, and Participant Roles in Austrian Courts — A Case Study on a Record of Court Proceedings",International Journal of Language and Law,2019-12-31
HER2 Expression Discordance between Ductal Carcinoma In situ and Invasive Breast Carcinoma. How to Analyze Oncotype DX,Journal of Cancer Research Updates,2019-12-31
SECOND LANGUAGE PRONUNCIATION: A SUMMARY OF TEACHING TECHNIQUES,Journal for Foreign Languages,2019-12-31
The Geothermal Cooling Potential for Buildings in Arid Zones,Habitat Sustentable,2019-12-31
Research on IFC Model Checking Method Based on Knowledge Base,Journal of Graphics,2019-12-31
Barriers and opportunities to operate photovoltaic systems in commercial buildings in Nigeria,Environmental Research and Technology,2019-12-31
Catholic Identity and Spiritual Well-Being of Students in a Philippine Catholic University,Recoletos Multidisciplinary Research Journal,2019-12-31
An Infrared Small Target Detection and Tracking Algorithm Applying for Multiple Scenarios,Aero Weaponry,2019-12-31
Hierarchical Joint Image Completion Method Based on Generative Adversarial Network,Journal of Graphics,2019-12-31
ASEAN E-Commerce Legal Framework and Alignment of Lao PDR: A Review,Lentera Hukum,2019-12-31
Translating Code-Switching on the Screen: Spanglish and L3-as-Theme,Journal of Audiovisual Translation,2019-12-31
SOCIOLOGICAL AND LEGAL ASPECTS OF “PRISON MOVIES” <sup>1</sup>,Bratislava Law Review,2019-12-31
Islamisation of Restitution of Conjugal Rights by the Federal Shariat Court of Pakistan: A Critique,Islamic Studies,2019-12-31
The Effect of Blended Learning on Nursing Students’ Knowledge,Jurnal Ners,2019-12-31
DEVELOPMENTS IN FAMILY REUNIFICATION CASES BEFORE THE CJEU,Bratislava Law Review,2019-12-31
Self-organised learning: Empowering the most marginalised schools of rural Greece?,Journal of Applied Learning and Teaching,2019-12-31
Family Support on the Activities of Elderly Hypertension Patients in Elderly Gymnastics Activities,Jurnal Ners,2019-12-31
Where do accents come from? Factors affecting the degree of foreign-accented Italian,Studi AISV,2019-12-31
Comprehensive Importance of Integrating User Satisfaction with User Demand,Journal of Graphics,2019-12-31
"Biomass to liquefied petroleum gas cooking energy: A solution to indoor pollution ailments in Temeke Municipality, Dar-Es-Salaam",Environmental Research and Technology,2019-12-31
"Focus, Detect, Track and Re-Focus: A Dim Target Detection Technique Using the Classical Detect before Track Architecture",Aero Weaponry,2019-12-31
A new phonological discrimination test for children aged 48-72 months,Studi AISV,2019-12-31
A Benchmark for Dim or Small Aircraft Targets Detection and Tracking,Aero Weaponry,2019-12-31
UVA Visual Tracking Via Multi-Cue Fusion Correlation Filter with Re-Detection,Journal of Graphics,2019-12-31
Telerehabilitation System in Nursing Post Stroke-A Systematic Review,Jurnal Ners,2019-12-31
Research on Development of Foreign Derivative Weapon Systems of Air-to-Air Missiles,Aero Weaponry,2019-12-31
Methodology for a Regional Cartography for the Application of the Bioclimatic Strategies of the Givoni Charter,Habitat Sustentable,2019-12-31
Variation in Matukar Panau kinship terminology,Asia-Pacific Language Variation,2019-12-31
Private Autonomy and Its Restrictions in Roman Law: An Overview Regarding the Law of Contracts and Succession,ELTE Law Journal,2019-12-31
A new approach for prevention the oxidations and mutations: Zinc borate,Journal of Boron,2019-12-31
Antitrust Law and Economic Power: the populist and the “new brandeis” movement,Law of Justice Journal,2019-12-31
BTZ black hole with Korteweg-de Vries-type boundary conditions: Thermodynamics revisited,Physical Review D,2019-12-31
Effects of polyelectrolytes on the hardness of borax decahydrate crystals,Journal of Boron,2019-12-31
The Effect of Foot Massage on Decreasing Peripheral Neuropathy Diabetic Complaints in the Patients with Type 2 Diabetes Mellitus,Jurnal Ners,2019-12-31
Children’s and adults’ initial phonological acquisition of a foreign language,Journal of Second Language Pronunciation,2019-12-31
Demand Analysis and System Function Design of Smart Venue Based on “Technology Winter Olympics”,Journal of Graphics,2019-12-31
Plantation campaign in Nepal,Banko Janakari,2019-12-31
The Experiences of Cancer-Related Fatigue among Adult Cancer Patients: A Systematic Review,Jurnal Ners,2019-12-31
"Effectiveness of Surgical hand Washing with Chlorhexidine, Providone iodine and Alcohol on Reducing the Microorganisms on the Hands: A Systematic Review",Jurnal Ners,2019-12-31
